"family name, first name",username
"Akobian, Varuzhan",GMAkobianSTL
"Akopian, Vladimir",GMValeduser
"Arnold, Marc",MarcTArnold
"Aronian, Levon",LevonAronian
"Ashley, Maurice",GMAshley
"Balakrishnan, Praveen",praveenb2002
"Benjamin, Joel",gmjoel
"Bhat, Vinay",vbhat
"Brodsky, David",Binary010
"Brown, Michael",michaelq2d5
"Bruzon Batista, Lazaro",GMLazaroBruzon
"Burke, John M",JMB2010
"Caruana, Fabiano",FabianoCaruana
"Chandra, Akshat",AkshatChandra
"Checa, Nicolas",SPEEDSKATER
"Corrales Jimenez, Fidel",gmcorrales
"Dlugy, Maxim",MaximDlugy
"Dominguez Perez, Leinier",Sebastian
"Dzindzichashvili, Roman",JRLOK
"Ehlvest, Jaan",Malev212
"Erenburg, Sergey",Sergey_Erenburg
"Fernandez, Daniel",LuckIsMySkill
"Finegold, Benjamin",GMBenjaminFinegold
"Friedel, Joshua",jfriedel
"Gareyev, Timur",TimurGareyev
"Goldin, Alexander",astralpulse
"Gonzalez, Renier",GMRenierGonzalez
"Gurevich, Dmitry",Zq1
"Henley, Ron",RonWHenley
"Hess, Robert",GMHess
"Holt, Conrad",dretch
"Hong, Andrew",SpeedofLight0
"Hungaski, Robert",rhungaski
"Jacobson, Brandon",BrandonJacobson
"Kaidanov, Gregory",kaidanov
"Kamsky, Gata",TigrVShlyape
"Khachiyan, Melikset",GMMelik
"Kraai, Jesse",JesseKraai
"Krush, Irina",Irochka83
"Kudrin, Sergey",stupid11
"Lenderman, Aleksandr",AlexanderL
"Li, Ruifeng",ruifeng
"Liang, Awonder",rednova1729
"Mishra, Abhimanyu",PursuitOfHappyness2
"Molner, Mackenzie",MacMolner
"Moradiabadi, Elshan",Elshan1985
"Nakamura, Hikaru",Hikaru
"Naroditsky, Daniel",DanielNaroditsky
"Onischuk, Alexander",AlexOnischuk
"Oparin, Grigoriy",OparinGrigoriy
"Perelshteyn, Eugene",EugenePerelshteyn
"Quesada Perez, Yuniesky",TenisMaster
"Ramirez, Alejandro",LittlePeasant
"Robson, Ray",spicycaterpillar
"Rohde, Michael",boo786
"Sagalchik, Gennadij",MaestroG
"Seirawan, Yasser",GMYAZ
"Serper, Grigory",Gserper
"Sevian, Samuel",Konavets
"Sevillano, Enrico",Taxidermist
"Shabalov, Alexander",superblysse
"Shankland, Sam",Shankland
"Sheng, Joshua",jjosu
"Smith, Bryan",BryanSmith
"So, Wesley",GMWSO
"Stripunsky, Alexander",Alex_Stripunsky
"Sturt, Raven",chessathletic
"Swiercz, Dariusz",daro94
"Tang, Andrew",penguingm1
"Tarjan, James",Tirantes
"Troff, Kayden",KaydenTroffChess
"Xiong, Jeffery",jefferyx
"Yang, Darwin",SMTheWeirdOne
"Yermolinsky, Alex",AlexYermo
"Yoo, Christopher Woojin",ChristopherYoo
"Zherebukh, Yaroslav",Cruel_Yaro
"Ziatdinov, Raset",gm_rashid
"Zierk, Steven",Zkid
